matrix_name,dtype,impl,M,K,N,threads,median_time,throughput
Llama_MLP_Scaling,bf16,ours,256,2048,5632,1,0.0703422,83.955
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,1,0.0465776,126.79
Llama_MLP_Scaling,int8,ours,256,2048,5632,1,0.019627,300.891
Llama_MLP_Scaling,int8,onednn,256,2048,5632,1,0.00856873,689.202
Llama_MLP_Scaling,bf16,ours,256,2048,5632,2,0.0381809,154.674
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,2,0.020296,290.972
Llama_MLP_Scaling,int8,ours,256,2048,5632,2,0.0108208,545.76
Llama_MLP_Scaling,int8,onednn,256,2048,5632,2,0.0067185,879.003
Llama_MLP_Scaling,bf16,ours,256,2048,5632,4,0.0255412,231.218
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,4,0.0103978,567.967
Llama_MLP_Scaling,int8,ours,256,2048,5632,4,0.00724036,815.647
Llama_MLP_Scaling,int8,onednn,256,2048,5632,4,0.00224854,2626.41
Llama_MLP_Scaling,bf16,ours,256,2048,5632,8,0.00982727,600.938
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,8,0.00519533,1136.71
Llama_MLP_Scaling,int8,ours,256,2048,5632,8,0.00248031,2380.98
Llama_MLP_Scaling,int8,onednn,256,2048,5632,8,0.00125806,4694.21
Llama_MLP_Scaling,bf16,ours,256,2048,5632,12,0.00667603,884.595
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,12,0.00365109,1617.48
Llama_MLP_Scaling,int8,ours,256,2048,5632,12,0.00169893,3476.05
Llama_MLP_Scaling,int8,onednn,256,2048,5632,12,0.000969344,6092.35
Llama_MLP_Scaling,bf16,ours,256,2048,5632,16,0.00538512,1096.65
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,16,0.00332243,1777.49
Llama_MLP_Scaling,int8,ours,256,2048,5632,16,0.00134584,4388.03
Llama_MLP_Scaling,int8,onednn,256,2048,5632,16,0.000663822,8896.33
Llama_MLP_Scaling,bf16,ours,256,2048,5632,24,0.00435086,1357.34
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,24,0.0027877,2118.44
Llama_MLP_Scaling,int8,ours,256,2048,5632,24,0.00113786,5190.1
Llama_MLP_Scaling,int8,onednn,256,2048,5632,24,0.00072143,8185.94
Llama_MLP_Scaling,bf16,ours,256,2048,5632,32,0.00386705,1527.15
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,32,0.00171671,3440.05
Llama_MLP_Scaling,int8,ours,256,2048,5632,32,0.00101403,5823.87
Llama_MLP_Scaling,int8,onednn,256,2048,5632,32,0.000391439,15086.8
Llama_MLP_Scaling,bf16,ours,256,2048,5632,48,0.00279208,2115.12
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,48,0.00138033,4278.37
Llama_MLP_Scaling,int8,ours,256,2048,5632,48,0.000779912,7572.12
Llama_MLP_Scaling,int8,onednn,256,2048,5632,48,0.000525259,11243.2
Llama_MLP_Scaling,bf16,ours,256,2048,5632,64,0.00232438,2540.71
Llama_MLP_Scaling,bf16,onednn,256,2048,5632,64,0.00114553,5155.35
Llama_MLP_Scaling,int8,ours,256,2048,5632,64,0.0013332,4429.62
Llama_MLP_Scaling,int8,onednn,256,2048,5632,64,0.000390246,15133
ResNet_FC,bf16,ours,256,2048,1000,32,0.0011039,949.885
ResNet_FC,bf16,onednn,256,2048,1000,32,0.000406222,2581.29
ResNet_FC,int8,ours,256,2048,1000,32,0.000264522,3964.04
ResNet_FC,int8,onednn,256,2048,1000,32,0.00022862,4586.56
ViT_MLP,bf16,ours,256,768,3072,32,0.000757307,1595.07
ViT_MLP,bf16,onednn,256,768,3072,32,0.00206866,583.934
ViT_MLP,int8,ours,256,768,3072,32,0.00020606,5862.19
ViT_MLP,int8,onednn,256,768,3072,32,0.000120261,10044.5
BERT_Query,bf16,ours,256,768,768,32,0.00073245,412.301
BERT_Query,bf16,onednn,256,768,768,32,0.000183567,1645.12
BERT_Query,int8,ours,256,768,768,32,9.4396e-05,3199.18
BERT_Query,int8,onednn,256,768,768,32,6.69055e-05,4513.68
Llama_MLP,bf16,ours,256,2048,5632,32,0.00335579,1759.82
Llama_MLP,bf16,onednn,256,2048,5632,32,0.00176457,3346.76
Llama_MLP,int8,ours,256,2048,5632,32,0.00100811,5858.05
Llama_MLP,int8,onednn,256,2048,5632,32,0.000464363,12717.6
GPT2_WTE,bf16,ours,256,768,50257,32,0.0115802,1706.53
GPT2_WTE,bf16,onednn,256,768,50257,32,0.0087137,2267.91
GPT2_WTE,int8,ours,256,768,50257,32,0.00340892,5797.1
GPT2_WTE,int8,onednn,256,768,50257,32,0.00159617,12380.8
Llama_MLP_BatchSweep,bf16,ours,1,2048,5632,32,0.00017464,132.093
Llama_MLP_BatchSweep,bf16,onednn,1,2048,5632,32,0.000248731,92.7457
Llama_MLP_BatchSweep,int8,ours,1,2048,5632,32,0.000479492,48.1107
Llama_MLP_BatchSweep,int8,onednn,1,2048,5632,32,8.3095e-05,277.618
Llama_MLP_BatchSweep,bf16,ours,2,2048,5632,32,0.000174191,264.866
Llama_MLP_BatchSweep,bf16,onednn,2,2048,5632,32,0.000209593,220.128
Llama_MLP_BatchSweep,int8,ours,2,2048,5632,32,0.000447239,103.16
Llama_MLP_BatchSweep,int8,onednn,2,2048,5632,32,9.04305e-05,510.197
Llama_MLP_BatchSweep,bf16,ours,4,2048,5632,32,0.000200482,460.264
Llama_MLP_BatchSweep,bf16,onednn,4,2048,5632,32,0.000139245,662.681
Llama_MLP_BatchSweep,int8,ours,4,2048,5632,32,0.000470762,196.011
Llama_MLP_BatchSweep,int8,onednn,4,2048,5632,32,7.8754e-05,1171.68
Llama_MLP_BatchSweep,bf16,ours,8,2048,5632,32,0.000265578,694.896
Llama_MLP_BatchSweep,bf16,onednn,8,2048,5632,32,0.000274057,673.398
Llama_MLP_BatchSweep,int8,ours,8,2048,5632,32,0.00046031,400.924
Llama_MLP_BatchSweep,int8,onednn,8,2048,5632,32,9.6271e-05,1916.98
Llama_MLP_BatchSweep,bf16,ours,16,2048,5632,32,0.000327564,1126.8
Llama_MLP_BatchSweep,bf16,onednn,16,2048,5632,32,0.000257516,1433.3
Llama_MLP_BatchSweep,int8,ours,16,2048,5632,32,0.00052918,697.492
Llama_MLP_BatchSweep,int8,onednn,16,2048,5632,32,0.000112269,3287.63
Llama_MLP_BatchSweep,bf16,ours,32,2048,5632,32,0.00112202,657.919
Llama_MLP_BatchSweep,bf16,onednn,32,2048,5632,32,0.000287984,2563.32
Llama_MLP_BatchSweep,int8,ours,32,2048,5632,32,0.00043796,1685.53
Llama_MLP_BatchSweep,int8,onednn,32,2048,5632,32,0.00014734,5010.15
Llama_MLP_BatchSweep,bf16,ours,64,2048,5632,32,0.000833347,1771.64
Llama_MLP_BatchSweep,bf16,onednn,64,2048,5632,32,0.00055908,2640.76
Llama_MLP_BatchSweep,int8,ours,64,2048,5632,32,0.000601937,2452.74
Llama_MLP_BatchSweep,int8,onednn,64,2048,5632,32,0.00019738,7479.98
Llama_MLP_BatchSweep,bf16,ours,128,2048,5632,32,0.00155489,1899.03
Llama_MLP_BatchSweep,bf16,onednn,128,2048,5632,32,0.000985452,2996.38
Llama_MLP_BatchSweep,int8,ours,128,2048,5632,32,0.000702363,4204.08
Llama_MLP_BatchSweep,int8,onednn,128,2048,5632,32,0.000281281,10497.7
Llama_MLP_BatchSweep,bf16,ours,256,2048,5632,32,0.00301714,1957.34
Llama_MLP_BatchSweep,bf16,onednn,256,2048,5632,32,0.00267793,2205.28
Llama_MLP_BatchSweep,int8,ours,256,2048,5632,32,0.00095546,6180.88
Llama_MLP_BatchSweep,int8,onednn,256,2048,5632,32,0.000434444,13593.4
Llama_MLP_BatchSweep,bf16,ours,512,2048,5632,32,0.00748507,1577.96
Llama_MLP_BatchSweep,bf16,onednn,512,2048,5632,32,0.00468643,2520.29
Llama_MLP_BatchSweep,int8,ours,512,2048,5632,32,0.00141845,8326.83
Llama_MLP_BatchSweep,int8,onednn,512,2048,5632,32,0.000990815,11920.7
Llama_MLP_BatchSweep,bf16,ours,1024,2048,5632,32,0.0115512,2045.01
Llama_MLP_BatchSweep,bf16,onednn,1024,2048,5632,32,0.00925027,2553.69
Llama_MLP_BatchSweep,int8,ours,1024,2048,5632,32,0.00266063,8878.48
Llama_MLP_BatchSweep,int8,onednn,1024,2048,5632,32,0.00199864,11819.2
Llama_MLP_BatchSweep,bf16,ours,2048,2048,5632,32,0.0236032,2001.62
Llama_MLP_BatchSweep,bf16,onednn,2048,2048,5632,32,0.0125206,3773.37
Llama_MLP_BatchSweep,int8,ours,2048,2048,5632,32,0.00468043,10094.1
Llama_MLP_BatchSweep,int8,onednn,2048,2048,5632,32,0.00332342,14215.7
Llama_MLP_BatchSweep,bf16,ours,4096,2048,5632,32,0.0529786,1783.54
Llama_MLP_BatchSweep,bf16,onednn,4096,2048,5632,32,0.021618,4370.85
Llama_MLP_BatchSweep,int8,ours,4096,2048,5632,32,0.0120653,7831.49
Llama_MLP_BatchSweep,int8,onednn,4096,2048,5632,32,0.00876183,10784.2